[VRAM-MON] VRAM alloc=0.01 reserved=0.02 peak=1.11/15.93GB, smi_used=1.70GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.78GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.78GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.77GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.77GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.78GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.78GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.78GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.78GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.77GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.78GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.77GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.78GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.78GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.78GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.45 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.63 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.45 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.45 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.45 reserved=1.11 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.57 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.45 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.48 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.45 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.45 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.45 reserved=0.49 peak=1.11/15.93GB, smi_used=2.24GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.63 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.45 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.66 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.84GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.74GB
[VRAM-MON] VRAM alloc=0.60 reserved=1.10 peak=1.11/15.93GB, smi_used=2.74GB
[VRAM-MON] VRAM alloc=0.69 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.82GB
[VRAM-MON] VRAM alloc=0.45 reserved=1.10 peak=1.11/15.93GB, smi_used=2.82GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.82GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.45 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.60 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.57 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.48 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.66 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.45 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.85GB
